Emoji,Unicode,Description
🫰🏻,U+1FAF0 U+1F3FB,:hand_with_index_finger_and_thumb_crossed_light_skin_tone:
🤟🏻,U+1F91F U+1F3FB,:love-you_gesture_light_skin_tone:
🤘🏻,U+1F918 U+1F3FB,:sign_of_the_horns_light_skin_tone:
🤙🏻,U+1F919 U+1F3FB,:call_me_hand_light_skin_tone:
🫵🏻,U+1FAF5 U+1F3FB,:index_pointing_at_the_viewer_light_skin_tone:
🫱🏻,U+1FAF1 U+1F3FB,:rightwards_hand_light_skin_tone:
🫲🏻,U+1FAF2 U+1F3FB,:leftwards_hand_light_skin_tone:
🫸🏻,U+1FAF8 U+1F3FB,:rightwards_pushing_hand_light_skin_tone:
🫷🏻,U+1FAF7 U+1F3FB,:leftwards_pushing_hand_light_skin_tone:
🫳🏻,U+1FAF3 U+1F3FB,:palm_down_hand_light_skin_tone:
🫴🏻,U+1FAF4 U+1F3FB,:palm_up_hand_light_skin_tone:
👈🏻,U+1F448 U+1F3FB,:backhand_index_pointing_left_light_skin_tone:
👉🏻,U+1F449 U+1F3FB,:backhand_index_pointing_right_light_skin_tone:
👆🏻,U+1F446 U+1F3FB,:backhand_index_pointing_up_light_skin_tone:
🖕🏻,U+1F595 U+1F3FB,:middle_finger_light_skin_tone:
👇🏻,U+1F447 U+1F3FB,:backhand_index_pointing_down_light_skin_tone:
☝🏻,U+261D U+1F3FB,:index_pointing_up_light_skin_tone:
👍🏻,U+1F44D U+1F3FB,:thumbs_up_light_skin_tone:
👎🏻,U+1F44E U+1F3FB,:thumbs_down_light_skin_tone:
✊🏻,U+270A U+1F3FB,:raised_fist_light_skin_tone:
👊🏻,U+1F44A U+1F3FB,:oncoming_fist_light_skin_tone:
🤛🏻,U+1F91B U+1F3FB,:left-facing_fist_light_skin_tone:
🤜🏻,U+1F91C U+1F3FB,:right-facing_fist_light_skin_tone:
👏🏻,U+1F44F U+1F3FB,:clapping_hands_light_skin_tone:
🫶🏻,U+1FAF6 U+1F3FB,:heart_hands_light_skin_tone:
🙌🏻,U+1F64C U+1F3FB,:raising_hands_light_skin_tone:
👐🏻,U+1F450 U+1F3FB,:open_hands_light_skin_tone:
🤲🏻,U+1F932 U+1F3FB,:palms_up_together_light_skin_tone:
🙏🏻,U+1F64F U+1F3FB,:folded_hands_light_skin_tone:
✍🏻,U+270D U+1F3FB,:writing_hand_light_skin_tone:
💅🏻,U+1F485 U+1F3FB,:nail_polish_light_skin_tone:
🤳🏻,U+1F933 U+1F3FB,:selfie_light_skin_tone:
💪🏻,U+1F4AA U+1F3FB,:flexed_biceps_light_skin_tone:
🦵🏻,U+1F9B5 U+1F3FB,:leg_light_skin_tone:
🦶🏻,U+1F9B6 U+1F3FB,:foot_light_skin_tone:
👂🏻,U+1F442 U+1F3FB,:ear_light_skin_tone:
🦻🏻,U+1F9BB U+1F3FB,:ear_with_hearing_aid_light_skin_tone:
👃🏻,U+1F443 U+1F3FB,:nose_light_skin_tone:
👶🏻,U+1F476 U+1F3FB,:baby_light_skin_tone:
👧🏻,U+1F467 U+1F3FB,:girl_light_skin_tone:
🧒🏻,U+1F9D2 U+1F3FB,:child_light_skin_tone:
👦🏻,U+1F466 U+1F3FB,:boy_light_skin_tone:
👩🏻,U+1F469 U+1F3FB,:woman_light_skin_tone:
🧑🏻,U+1F9D1 U+1F3FB,:person_light_skin_tone:
👨🏻,U+1F468 U+1F3FB,:man_light_skin_tone:
👩🏻‍🦱,U+1F469 U+1F3FB U+200D U+1F9B1,:woman_light_skin_tone_curly_hair:
🧑🏻‍🦱,U+1F9D1 U+1F3FB U+200D U+1F9B1,:person_light_skin_tone_curly_hair:
👨🏻‍🦱,U+1F468 U+1F3FB U+200D U+1F9B1,:man_light_skin_tone_curly_hair:
👩🏻‍🦰,U+1F469 U+1F3FB U+200D U+1F9B0,:woman_light_skin_tone_red_hair:
🧑🏻‍🦰,U+1F9D1 U+1F3FB U+200D U+1F9B0,:person_light_skin_tone_red_hair:
👨🏻‍🦰,U+1F468 U+1F3FB U+200D U+1F9B0,:man_light_skin_tone_red_hair:
👱🏻‍♀️,U+1F471 U+1F3FB U+200D U+2640 U+FE0F,:woman_light_skin_tone_blond_hair:
👱🏻,U+1F471 U+1F3FB,:person_light_skin_tone_blond_hair:
👱🏻‍♂️,U+1F471 U+1F3FB U+200D U+2642 U+FE0F,:man_light_skin_tone_blond_hair:
👩🏻‍🦳,U+1F469 U+1F3FB U+200D U+1F9B3,:woman_light_skin_tone_white_hair:
🧑🏻‍🦳,U+1F9D1 U+1F3FB U+200D U+1F9B3,:person_light_skin_tone_white_hair:
👨🏻‍🦳,U+1F468 U+1F3FB U+200D U+1F9B3,:man_light_skin_tone_white_hair:
👩🏻‍🦲,U+1F469 U+1F3FB U+200D U+1F9B2,:woman_light_skin_tone_bald:
🧑🏻‍🦲,U+1F9D1 U+1F3FB U+200D U+1F9B2,:person_light_skin_tone_bald:
👨🏻‍🦲,U+1F468 U+1F3FB U+200D U+1F9B2,:man_light_skin_tone_bald:
🧔🏻‍♀️,U+1F9D4 U+1F3FB U+200D U+2640 U+FE0F,:woman_light_skin_tone_beard:
🧔🏻,U+1F9D4 U+1F3FB,:person_light_skin_tone_beard:
🧔🏻‍♂️,U+1F9D4 U+1F3FB U+200D U+2642 U+FE0F,:man_light_skin_tone_beard:
👵🏻,U+1F475 U+1F3FB,:old_woman_light_skin_tone:
🧓🏻,U+1F9D3 U+1F3FB,:older_person_light_skin_tone:
👴🏻,U+1F474 U+1F3FB,:old_man_light_skin_tone:
👲🏻,U+1F472 U+1F3FB,:person_with_skullcap_light_skin_tone:
👳🏻‍♀️,U+1F473 U+1F3FB U+200D U+2640 U+FE0F,:woman_wearing_turban_light_skin_tone:
👳🏻,U+1F473 U+1F3FB,:person_wearing_turban_light_skin_tone:
👳🏻‍♂️,U+1F473 U+1F3FB U+200D U+2642 U+FE0F,:man_wearing_turban_light_skin_tone:
🧕🏻,U+1F9D5 U+1F3FB,:woman_with_headscarf_light_skin_tone:
👮🏻‍♀️,U+1F46E U+1F3FB U+200D U+2640 U+FE0F,:woman_police_officer_light_skin_tone:
👮🏻,U+1F46E U+1F3FB,:police_officer_light_skin_tone:
👮🏻‍♂️,U+1F46E U+1F3FB U+200D U+2642 U+FE0F,:man_police_officer_light_skin_tone:
👷🏻‍♀️,U+1F477 U+1F3FB U+200D U+2640 U+FE0F,:woman_construction_worker_light_skin_tone:
👷🏻,U+1F477 U+1F3FB,:construction_worker_light_skin_tone:
👷🏻‍♂️,U+1F477 U+1F3FB U+200D U+2642 U+FE0F,:man_construction_worker_light_skin_tone:
💂🏻‍♀️,U+1F482 U+1F3FB U+200D U+2640 U+FE0F,:woman_guard_light_skin_tone:
💂🏻,U+1F482 U+1F3FB,:guard_light_skin_tone:
💂🏻‍♂️,U+1F482 U+1F3FB U+200D U+2642 U+FE0F,:man_guard_light_skin_tone:
🕵🏻‍♀️,U+1F575 U+1F3FB U+200D U+2640 U+FE0F,:woman_detective_light_skin_tone:
🕵🏻,U+1F575 U+1F3FB,:detective_light_skin_tone:
🕵🏻‍♂️,U+1F575 U+1F3FB U+200D U+2642 U+FE0F,:man_detective_light_skin_tone:
👩🏻‍⚕️,U+1F469 U+1F3FB U+200D U+2695 U+FE0F,:woman_health_worker_light_skin_tone:
🧑🏻‍⚕️,U+1F9D1 U+1F3FB U+200D U+2695 U+FE0F,:health_worker_light_skin_tone:
👨🏻‍⚕️,U+1F468 U+1F3FB U+200D U+2695 U+FE0F,:man_health_worker_light_skin_tone:
👩🏻‍🌾,U+1F469 U+1F3FB U+200D U+1F33E,:woman_farmer_light_skin_tone:
🧑🏻‍🌾,U+1F9D1 U+1F3FB U+200D U+1F33E,:farmer_light_skin_tone:
👨🏻‍🌾,U+1F468 U+1F3FB U+200D U+1F33E,:man_farmer_light_skin_tone:
👩🏻‍🍳,U+1F469 U+1F3FB U+200D U+1F373,:woman_cook_light_skin_tone:
🧑🏻‍🍳,U+1F9D1 U+1F3FB U+200D U+1F373,:cook_light_skin_tone:
👨🏻‍🍳,U+1F468 U+1F3FB U+200D U+1F373,:man_cook_light_skin_tone:
👩🏻‍🎓,U+1F469 U+1F3FB U+200D U+1F393,:woman_student_light_skin_tone:
🧑🏻‍🎓,U+1F9D1 U+1F3FB U+200D U+1F393,:student_light_skin_tone:
👨🏻‍🎓,U+1F468 U+1F3FB U+200D U+1F393,:man_student_light_skin_tone:
👩🏻‍🎤,U+1F469 U+1F3FB U+200D U+1F3A4,:woman_singer_light_skin_tone:
🧑🏻‍🎤,U+1F9D1 U+1F3FB U+200D U+1F3A4,:singer_light_skin_tone:
👨🏻‍🎤,U+1F468 U+1F3FB U+200D U+1F3A4,:man_singer_light_skin_tone:
👩🏻‍🏫,U+1F469 U+1F3FB U+200D U+1F3EB,:woman_teacher_light_skin_tone:
🧑🏻‍🏫,U+1F9D1 U+1F3FB U+200D U+1F3EB,:teacher_light_skin_tone:
👨🏻‍🏫,U+1F468 U+1F3FB U+200D U+1F3EB,:man_teacher_light_skin_tone:
👩🏻‍🏭,U+1F469 U+1F3FB U+200D U+1F3ED,:woman_factory_worker_light_skin_tone:
🧑🏻‍🏭,U+1F9D1 U+1F3FB U+200D U+1F3ED,:factory_worker_light_skin_tone:
👨🏻‍🏭,U+1F468 U+1F3FB U+200D U+1F3ED,:man_factory_worker_light_skin_tone:
👩🏻‍💻,U+1F469 U+1F3FB U+200D U+1F4BB,:woman_technologist_light_skin_tone:
🧑🏻‍💻,U+1F9D1 U+1F3FB U+200D U+1F4BB,:technologist_light_skin_tone:
👨🏻‍💻,U+1F468 U+1F3FB U+200D U+1F4BB,:man_technologist_light_skin_tone:
👩🏻‍💼,U+1F469 U+1F3FB U+200D U+1F4BC,:woman_office_worker_light_skin_tone:
🧑🏻‍💼,U+1F9D1 U+1F3FB U+200D U+1F4BC,:office_worker_light_skin_tone:
👨🏻‍💼,U+1F468 U+1F3FB U+200D U+1F4BC,:man_office_worker_light_skin_tone:
👩🏻‍🔧,U+1F469 U+1F3FB U+200D U+1F527,:woman_mechanic_light_skin_tone:
🧑🏻‍🔧,U+1F9D1 U+1F3FB U+200D U+1F527,:mechanic_light_skin_tone:
👨🏻‍🔧,U+1F468 U+1F3FB U+200D U+1F527,:man_mechanic_light_skin_tone:
👩🏻‍🔬,U+1F469 U+1F3FB U+200D U+1F52C,:woman_scientist_light_skin_tone:
🧑🏻‍🔬,U+1F9D1 U+1F3FB U+200D U+1F52C,:scientist_light_skin_tone:
👨🏻‍🔬,U+1F468 U+1F3FB U+200D U+1F52C,:man_scientist_light_skin_tone:
👩🏻‍🎨,U+1F469 U+1F3FB U+200D U+1F3A8,:woman_artist_light_skin_tone:
🧑🏻‍🎨,U+1F9D1 U+1F3FB U+200D U+1F3A8,:artist_light_skin_tone:
👨🏻‍🎨,U+1F468 U+1F3FB U+200D U+1F3A8,:man_artist_light_skin_tone:
👩🏻‍🚒,U+1F469 U+1F3FB U+200D U+1F692,:woman_firefighter_light_skin_tone:
🧑🏻‍🚒,U+1F9D1 U+1F3FB U+200D U+1F692,:firefighter_light_skin_tone:
👨🏻‍🚒,U+1F468 U+1F3FB U+200D U+1F692,:man_firefighter_light_skin_tone:
👩🏻‍✈️,U+1F469 U+1F3FB U+200D U+2708 U+FE0F,:woman_pilot_light_skin_tone:
🧑🏻‍✈️,U+1F9D1 U+1F3FB U+200D U+2708 U+FE0F,:pilot_light_skin_tone:
👨🏻‍✈️,U+1F468 U+1F3FB U+200D U+2708 U+FE0F,:man_pilot_light_skin_tone:
👩🏻‍🚀,U+1F469 U+1F3FB U+200D U+1F680,:woman_astronaut_light_skin_tone:
🧑🏻‍🚀,U+1F9D1 U+1F3FB U+200D U+1F680,:astronaut_light_skin_tone:
👨🏻‍🚀,U+1F468 U+1F3FB U+200D U+1F680,:man_astronaut_light_skin_tone:
👩🏻‍⚖️,U+1F469 U+1F3FB U+200D U+2696 U+FE0F,:woman_judge_light_skin_tone:
🧑🏻‍⚖️,U+1F9D1 U+1F3FB U+200D U+2696 U+FE0F,:judge_light_skin_tone:
👨🏻‍⚖️,U+1F468 U+1F3FB U+200D U+2696 U+FE0F,:man_judge_light_skin_tone:
👰🏻‍♀️,U+1F470 U+1F3FB U+200D U+2640 U+FE0F,:woman_with_veil_light_skin_tone:
👰🏻,U+1F470 U+1F3FB,:person_with_veil_light_skin_tone:
👰🏻‍♂️,U+1F470 U+1F3FB U+200D U+2642 U+FE0F,:man_with_veil_light_skin_tone:
🤵🏻‍♀️,U+1F935 U+1F3FB U+200D U+2640 U+FE0F,:woman_in_tuxedo_light_skin_tone:
🤵🏻,U+1F935 U+1F3FB,:person_in_tuxedo_light_skin_tone:
🤵🏻‍♂️,U+1F935 U+1F3FB U+200D U+2642 U+FE0F,:man_in_tuxedo_light_skin_tone:
👸🏻,U+1F478 U+1F3FB,:princess_light_skin_tone:
🫅🏻,U+1FAC5 U+1F3FB,:person_with_crown_light_skin_tone:
🤴🏻,U+1F934 U+1F3FB,:prince_light_skin_tone:
🥷🏻,U+1F977 U+1F3FB,:ninja_light_skin_tone:
🦸🏻‍♀️,U+1F9B8 U+1F3FB U+200D U+2640 U+FE0F,:woman_superhero_light_skin_tone:
🦸🏻,U+1F9B8 U+1F3FB,:superhero_light_skin_tone:
🦸🏻‍♂️,U+1F9B8 U+1F3FB U+200D U+2642 U+FE0F,:man_superhero_light_skin_tone:
🦹🏻‍♀️,U+1F9B9 U+1F3FB U+200D U+2640 U+FE0F,:woman_supervillain_light_skin_tone:
🦹🏻,U+1F9B9 U+1F3FB,:supervillain_light_skin_tone:
🦹🏻‍♂️,U+1F9B9 U+1F3FB U+200D U+2642 U+FE0F,:man_supervillain_light_skin_tone:
🤶🏻,U+1F936 U+1F3FB,:Mrs._Claus_light_skin_tone:
🧑🏻‍🎄,U+1F9D1 U+1F3FB U+200D U+1F384,:mx_claus_light_skin_tone:
🎅🏻,U+1F385 U+1F3FB,:Santa_Claus_light_skin_tone:
🧙🏻‍♀️,U+1F9D9 U+1F3FB U+200D U+2640 U+FE0F,:woman_mage_light_skin_tone:
🧙🏻,U+1F9D9 U+1F3FB,:mage_light_skin_tone:
🧙🏻‍♂️,U+1F9D9 U+1F3FB U+200D U+2642 U+FE0F,:man_mage_light_skin_tone:
🧝🏻‍♀️,U+1F9DD U+1F3FB U+200D U+2640 U+FE0F,:woman_elf_light_skin_tone:
🧝🏻,U+1F9DD U+1F3FB,:elf_light_skin_tone:
🧝🏻‍♂️,U+1F9DD U+1F3FB U+200D U+2642 U+FE0F,:man_elf_light_skin_tone:
🧛🏻‍♀️,U+1F9DB U+1F3FB U+200D U+2640 U+FE0F,:woman_vampire_light_skin_tone:
🧛🏻,U+1F9DB U+1F3FB,:vampire_light_skin_tone:
🧛🏻‍♂️,U+1F9DB U+1F3FB U+200D U+2642 U+FE0F,:man_vampire_light_skin_tone:
🧜🏻‍♀️,U+1F9DC U+1F3FB U+200D U+2640 U+FE0F,:mermaid_light_skin_tone:
🧜🏻,U+1F9DC U+1F3FB,:merperson_light_skin_tone:
🧜🏻‍♂️,U+1F9DC U+1F3FB U+200D U+2642 U+FE0F,:merman_light_skin_tone:
🧚🏻‍♀️,U+1F9DA U+1F3FB U+200D U+2640 U+FE0F,:woman_fairy_light_skin_tone:
🧚🏻,U+1F9DA U+1F3FB,:fairy_light_skin_tone:
🧚🏻‍♂️,U+1F9DA U+1F3FB U+200D U+2642 U+FE0F,:man_fairy_light_skin_tone:
👼🏻,U+1F47C U+1F3FB,:baby_angel_light_skin_tone:
🤰🏻,U+1F930 U+1F3FB,:pregnant_woman_light_skin_tone:
🫄🏻,U+1FAC4 U+1F3FB,:pregnant_person_light_skin_tone:
🫃🏻,U+1FAC3 U+1F3FB,:pregnant_man_light_skin_tone:
🤱🏻,U+1F931 U+1F3FB,:breast-feeding_light_skin_tone:
👩🏻‍🍼,U+1F469 U+1F3FB U+200D U+1F37C,:woman_feeding_baby_light_skin_tone:
🧑🏻‍🍼,U+1F9D1 U+1F3FB U+200D U+1F37C,:person_feeding_baby_light_skin_tone:
👨🏻‍🍼,U+1F468 U+1F3FB U+200D U+1F37C,:man_feeding_baby_light_skin_tone:
🙇🏻‍♀️,U+1F647 U+1F3FB U+200D U+2640 U+FE0F,:woman_bowing_light_skin_tone:
🙇🏻,U+1F647 U+1F3FB,:person_bowing_light_skin_tone:
🙇🏻‍♂️,U+1F647 U+1F3FB U+200D U+2642 U+FE0F,:man_bowing_light_skin_tone:
💁🏻‍♀️,U+1F481 U+1F3FB U+200D U+2640 U+FE0F,:woman_tipping_hand_light_skin_tone:
💁🏻,U+1F481 U+1F3FB,:person_tipping_hand_light_skin_tone:
💁🏻‍♂️,U+1F481 U+1F3FB U+200D U+2642 U+FE0F,:man_tipping_hand_light_skin_tone:
🙅🏻‍♀️,U+1F645 U+1F3FB U+200D U+2640 U+FE0F,:woman_gesturing_NO_light_skin_tone:
🙅🏻,U+1F645 U+1F3FB,:person_gesturing_NO_light_skin_tone:
🙅🏻‍♂️,U+1F645 U+1F3FB U+200D U+2642 U+FE0F,:man_gesturing_NO_light_skin_tone:
🙆🏻‍♀️,U+1F646 U+1F3FB U+200D U+2640 U+FE0F,:woman_gesturing_OK_light_skin_tone:
🙆🏻,U+1F646 U+1F3FB,:person_gesturing_OK_light_skin_tone:
🙆🏻‍♂️,U+1F646 U+1F3FB U+200D U+2642 U+FE0F,:man_gesturing_OK_light_skin_tone:
🙋🏻‍♀️,U+1F64B U+1F3FB U+200D U+2640 U+FE0F,:woman_raising_hand_light_skin_tone:
🙋🏻,U+1F64B U+1F3FB,:person_raising_hand_light_skin_tone:
🙋🏻‍♂️,U+1F64B U+1F3FB U+200D U+2642 U+FE0F,:man_raising_hand_light_skin_tone:
🧏🏻‍♀️,U+1F9CF U+1F3FB U+200D U+2640 U+FE0F,:deaf_woman_light_skin_tone:
🧏🏻,U+1F9CF U+1F3FB,:deaf_person_light_skin_tone:
🧏🏻‍♂️,U+1F9CF U+1F3FB U+200D U+2642 U+FE0F,:deaf_man_light_skin_tone:
🤦🏻‍♀️,U+1F926 U+1F3FB U+200D U+2640 U+FE0F,:woman_facepalming_light_skin_tone:
🤦🏻,U+1F926 U+1F3FB,:person_facepalming_light_skin_tone:
🤦🏻‍♂️,U+1F926 U+1F3FB U+200D U+2642 U+FE0F,:man_facepalming_light_skin_tone:
🤷🏻‍♀️,U+1F937 U+1F3FB U+200D U+2640 U+FE0F,:woman_shrugging_light_skin_tone:
🤷🏻,U+1F937 U+1F3FB,:person_shrugging_light_skin_tone:
🤷🏻‍♂️,U+1F937 U+1F3FB U+200D U+2642 U+FE0F,:man_shrugging_light_skin_tone:
🙎🏻‍♀️,U+1F64E U+1F3FB U+200D U+2640 U+FE0F,:woman_pouting_light_skin_tone:
🙎🏻,U+1F64E U+1F3FB,:person_pouting_light_skin_tone:
🙎🏻‍♂️,U+1F64E U+1F3FB U+200D U+2642 U+FE0F,:man_pouting_light_skin_tone:
🙍🏻‍♀️,U+1F64D U+1F3FB U+200D U+2640 U+FE0F,:woman_frowning_light_skin_tone:
🙍🏻,U+1F64D U+1F3FB,:person_frowning_light_skin_tone:
🙍🏻‍♂️,U+1F64D U+1F3FB U+200D U+2642 U+FE0F,:man_frowning_light_skin_tone:
💇🏻‍♀️,U+1F487 U+1F3FB U+200D U+2640 U+FE0F,:woman_getting_haircut_light_skin_tone:
💇🏻,U+1F487 U+1F3FB,:person_getting_haircut_light_skin_tone:
💇🏻‍♂️,U+1F487 U+1F3FB U+200D U+2642 U+FE0F,:man_getting_haircut_light_skin_tone:
💆🏻‍♀️,U+1F486 U+1F3FB U+200D U+2640 U+FE0F,:woman_getting_massage_light_skin_tone:
💆🏻,U+1F486 U+1F3FB,:person_getting_massage_light_skin_tone:
💆🏻‍♂️,U+1F486 U+1F3FB U+200D U+2642 U+FE0F,:man_getting_massage_light_skin_tone:
🧖🏻‍♀️,U+1F9D6 U+1F3FB U+200D U+2640 U+FE0F,:woman_in_steamy_room_light_skin_tone:
🧖🏻,U+1F9D6 U+1F3FB,:person_in_steamy_room_light_skin_tone:
🧖🏻‍♂️,U+1F9D6 U+1F3FB U+200D U+2642 U+FE0F,:man_in_steamy_room_light_skin_tone:
💃🏻,U+1F483 U+1F3FB,:woman_dancing_light_skin_tone:
🕺🏻,U+1F57A U+1F3FB,:man_dancing_light_skin_tone:
🕴🏻,U+1F574 U+1F3FB,:person_in_suit_levitating_light_skin_tone:
👩🏻‍🦽,U+1F469 U+1F3FB U+200D U+1F9BD,:woman_in_manual_wheelchair_light_skin_tone:
🧑🏻‍🦽,U+1F9D1 U+1F3FB U+200D U+1F9BD,:person_in_manual_wheelchair_light_skin_tone:
👨🏻‍🦽,U+1F468 U+1F3FB U+200D U+1F9BD,:man_in_manual_wheelchair_light_skin_tone:
👩🏻‍🦼,U+1F469 U+1F3FB U+200D U+1F9BC,:woman_in_motorized_wheelchair_light_skin_tone:
🧑🏻‍🦼,U+1F9D1 U+1F3FB U+200D U+1F9BC,:person_in_motorized_wheelchair_light_skin_tone:
👨🏻‍🦼,U+1F468 U+1F3FB U+200D U+1F9BC,:man_in_motorized_wheelchair_light_skin_tone:
🚶🏻‍♀️,U+1F6B6 U+1F3FB U+200D U+2640 U+FE0F,:woman_walking_light_skin_tone:
🚶🏻,U+1F6B6 U+1F3FB,:person_walking_light_skin_tone:
🚶🏻‍♂️,U+1F6B6 U+1F3FB U+200D U+2642 U+FE0F,:man_walking_light_skin_tone:
👩🏻‍🦯,U+1F469 U+1F3FB U+200D U+1F9AF,:woman_with_white_cane_light_skin_tone:
🧑🏻‍🦯,U+1F9D1 U+1F3FB U+200D U+1F9AF,:person_with_white_cane_light_skin_tone:
👨🏻‍🦯,U+1F468 U+1F3FB U+200D U+1F9AF,:man_with_white_cane_light_skin_tone:
🧎🏻‍♀️,U+1F9CE U+1F3FB U+200D U+2640 U+FE0F,:woman_kneeling_light_skin_tone:
🧎🏻,U+1F9CE U+1F3FB,:person_kneeling_light_skin_tone:
🧎🏻‍♂️,U+1F9CE U+1F3FB U+200D U+2642 U+FE0F,:man_kneeling_light_skin_tone:
🏃🏻‍♀️,U+1F3C3 U+1F3FB U+200D U+2640 U+FE0F,:woman_running_light_skin_tone:
🏃🏻,U+1F3C3 U+1F3FB,:person_running_light_skin_tone:
🏃🏻‍♂️,U+1F3C3 U+1F3FB U+200D U+2642 U+FE0F,:man_running_light_skin_tone:
🧍🏻‍♀️,U+1F9CD U+1F3FB U+200D U+2640 U+FE0F,:woman_standing_light_skin_tone:
🧍🏻,U+1F9CD U+1F3FB,:person_standing_light_skin_tone:
🧍🏻‍♂️,U+1F9CD U+1F3FB U+200D U+2642 U+FE0F,:man_standing_light_skin_tone:
👭🏻,U+1F46D U+1F3FB,:women_holding_hands_light_skin_tone:
🧑🏻‍🤝‍🧑🏻,U+1F9D1 U+1F3FB U+200D U+1F91D U+200D U+1F9D1 U+1F3FB,:people_holding_hands_light_skin_tone:
👬🏻,U+1F46C U+1F3FB,:men_holding_hands_light_skin_tone:
👫🏻,U+1F46B U+1F3FB,:woman_and_man_holding_hands_light_skin_tone:
🧗🏻‍♀️,U+1F9D7 U+1F3FB U+200D U+2640 U+FE0F,:woman_climbing_light_skin_tone:
🧗🏻,U+1F9D7 U+1F3FB,:person_climbing_light_skin_tone:
🧗🏻‍♂️,U+1F9D7 U+1F3FB U+200D U+2642 U+FE0F,:man_climbing_light_skin_tone:
🏇🏻,U+1F3C7 U+1F3FB,:horse_racing_light_skin_tone:
🏂🏻,U+1F3C2 U+1F3FB,:snowboarder_light_skin_tone:
🏌🏻‍♀️,U+1F3CC U+1F3FB U+200D U+2640 U+FE0F,:woman_golfing_light_skin_tone:
🏌🏻,U+1F3CC U+1F3FB,:person_golfing_light_skin_tone:
🏌🏻‍♂️,U+1F3CC U+1F3FB U+200D U+2642 U+FE0F,:man_golfing_light_skin_tone:
🏄🏻‍♀️,U+1F3C4 U+1F3FB U+200D U+2640 U+FE0F,:woman_surfing_light_skin_tone:
🏄🏻,U+1F3C4 U+1F3FB,:person_surfing_light_skin_tone:
🏄🏻‍♂️,U+1F3C4 U+1F3FB U+200D U+2642 U+FE0F,:man_surfing_light_skin_tone:
🚣🏻‍♀️,U+1F6A3 U+1F3FB U+200D U+2640 U+FE0F,:woman_rowing_boat_light_skin_tone:
🚣🏻,U+1F6A3 U+1F3FB,:person_rowing_boat_light_skin_tone:
🚣🏻‍♂️,U+1F6A3 U+1F3FB U+200D U+2642 U+FE0F,:man_rowing_boat_light_skin_tone:
🏊🏻‍♀️,U+1F3CA U+1F3FB U+200D U+2640 U+FE0F,:woman_swimming_light_skin_tone:
🏊🏻,U+1F3CA U+1F3FB,:person_swimming_light_skin_tone:
🏊🏻‍♂️,U+1F3CA U+1F3FB U+200D U+2642 U+FE0F,:man_swimming_light_skin_tone:
⛹🏻‍♀️,U+26F9 U+1F3FB U+200D U+2640 U+FE0F,:woman_bouncing_ball_light_skin_tone:
⛹🏻,U+26F9 U+1F3FB,:person_bouncing_ball_light_skin_tone:
⛹🏻‍♂️,U+26F9 U+1F3FB U+200D U+2642 U+FE0F,:man_bouncing_ball_light_skin_tone:
🏋🏻‍♀️,U+1F3CB U+1F3FB U+200D U+2640 U+FE0F,:woman_lifting_weights_light_skin_tone:
🏋🏻,U+1F3CB U+1F3FB,:person_lifting_weights_light_skin_tone:
🏋🏻‍♂️,U+1F3CB U+1F3FB U+200D U+2642 U+FE0F,:man_lifting_weights_light_skin_tone:
🚴🏻‍♀️,U+1F6B4 U+1F3FB U+200D U+2640 U+FE0F,:woman_biking_light_skin_tone:
🚴🏻,U+1F6B4 U+1F3FB,:person_biking_light_skin_tone:
🚴🏻‍♂️,U+1F6B4 U+1F3FB U+200D U+2642 U+FE0F,:man_biking_light_skin_tone:
🚵🏻‍♀️,U+1F6B5 U+1F3FB U+200D U+2640 U+FE0F,:woman_mountain_biking_light_skin_tone:
🚵🏻,U+1F6B5 U+1F3FB,:person_mountain_biking_light_skin_tone:
🚵🏻‍♂️,U+1F6B5 U+1F3FB U+200D U+2642 U+FE0F,:man_mountain_biking_light_skin_tone:
🤸🏻‍♀️,U+1F938 U+1F3FB U+200D U+2640 U+FE0F,:woman_cartwheeling_light_skin_tone:
🤸🏻,U+1F938 U+1F3FB,:person_cartwheeling_light_skin_tone:
🤸🏻‍♂️,U+1F938 U+1F3FB U+200D U+2642 U+FE0F,:man_cartwheeling_light_skin_tone:
🤽🏻‍♀️,U+1F93D U+1F3FB U+200D U+2640 U+FE0F,:woman_playing_water_polo_light_skin_tone:
🤽🏻,U+1F93D U+1F3FB,:person_playing_water_polo_light_skin_tone:
🤽🏻‍♂️,U+1F93D U+1F3FB U+200D U+2642 U+FE0F,:man_playing_water_polo_light_skin_tone:
🤾🏻‍♀️,U+1F93E U+1F3FB U+200D U+2640 U+FE0F,:woman_playing_handball_light_skin_tone:
🤾🏻,U+1F93E U+1F3FB,:person_playing_handball_light_skin_tone:
🤾🏻‍♂️,U+1F93E U+1F3FB U+200D U+2642 U+FE0F,:man_playing_handball_light_skin_tone:
🤹🏻‍♀️,U+1F939 U+1F3FB U+200D U+2640 U+FE0F,:woman_juggling_light_skin_tone:
🤹🏻,U+1F939 U+1F3FB,:person_juggling_light_skin_tone:
🤹🏻‍♂️,U+1F939 U+1F3FB U+200D U+2642 U+FE0F,:man_juggling_light_skin_tone:
🧘🏻‍♀️,U+1F9D8 U+1F3FB U+200D U+2640 U+FE0F,:woman_in_lotus_position_light_skin_tone:
🧘🏻,U+1F9D8 U+1F3FB,:person_in_lotus_position_light_skin_tone:
